FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED,DESCRIPTION,HISTORY
373579,Limekiln Rapids,Rapids,WA,53,Asotin,3,46.076042,-116.9665775,251,823,Limekiln Rapids,6/21/1979,8/1/2012,Located 1/2 mile up stream from the junction of the Grande Ronde River and the Snake River.,Named for the limestone formations on either side of the Snake River. A kiln was planned but never constructed. The name came into use in the early 1880s.
373634,Little Hangman Creek,Stream,WA,53,Whitman,75,47.2240647,-117.076566,758,2487,Tekoa,6/21/1979,6/24/2009,"Heads 3.5 km (2.2 mi) southeast of Plummer Butte, flows west-southwest 19 km (12 mi) to join Hangman Creek at Tekoa, within the Coeur d'Alene Indian Reservation.","A proposal to change the name Little Hangman Creek to Little Latah Creek was submitted by the Chairman of the Spokane County, Washington, Board of Commissioners; the U.S. Board on Geographic Names (USBGN) rejected the proposal on 9 September 1999, because local use was strong for the name Little Hangman Creek and there was no new evidence to overturn the 1959 Board on Geographic Names (BGN) decision."
379092,Cedar Creek,Stream,WA,53,Whitman,75,46.9548918,-117.1246168,723,2372,Palouse,6/21/1979,6/24/2009,"Heads in Latah County, Idaho, flows southwest to its confluence with the Palouse River.",
1133186,Little Mud Creek,Stream,WA,53,Walla Walla,71,46.0012455,-118.5913686,153,502,Lowden,12/31/1992,12/19/2008,"Heads in Oregon, flows northwest into Washington to Pine Creek, 13 miles southwest of Walla Walla.",
1133437,Umatilla National Wildlife Refuge,Park,WA,53,Benton,5,45.8882382,-119.6449515,81,266,West of Paterson,5/22/1986,2/4/2014,Incomplete record,
1159036,The Dalles (historical),Rapids,WA,53,Klickitat,39,45.6290103,-121.113681,49,161,Stacker Butte,12/31/1992,,Inundated by the Dalles Dam (US-T121),
1159062,Columbia Plateau,Plain,WA,53,Benton,5,45.9995778,-119.0013937,211,692,Juniper,12/31/1992,,Incomplete record,
1167850,Cascade Range,Range,WA,53,Pierce,53,46.8528857,-121.7603744,4392,14409,Mount Rainier West,9/10/1979,8/19/2014,"Highest elevation is Mount Rainier in the State of Washington, bound on the south by the Sierra Nevada, extends north limited on the south by the gap south of Lassen Peak in California to a point 50 miles north of the international boundary, to Meager Mountain, in south-central British Columbia, Canada.",Incomplete record - LATLONG truncated - QUAD and MAPNAME OK. Incomplete counties.
1502906,Yakama Nation Reservation,Civil,WA,53,Yakima,77,46.2331395,-120.8218686,1065,3494,Camas Patch,12/31/1992,1/15/2013,Incomplete record.,
1502914,Penny Creek,Stream,WA,53,Pacific,49,46.5526032,-123.5357095,61,200,Lebam,12/31/1992,,Flows SW to the Willapa River at Globe.,
1502920,A J West Elementary School,School,WA,53,Grays Harbor,27,46.9719384,-123.8377939,4,13,Aberdeen,9/10/1979,9/15/2010,"1801 Bay Avenue, Aberdeen, WA  98520-5510",
1503007,Almira,Populated Place,WA,53,Lincoln,43,47.7109823,-118.9408459,585,1919,Almira,9/10/1979,3/21/2008,,"Named for Almira Davis, wife of the first merchant in the area in 1889. See ""Description of Washington State Town Names"", DeWitt C. Francis, 1971"
1503022,Anatone,Populated Place,WA,53,Asotin,3,46.1348764,-117.1323791,1085,3560,Anatone,9/10/1979,11/8/2006,,"Named for a famous Indian woman who lived in the area. See ""Description of Washington State Town Names"", DeWitt C. Francis"
1503150,Ballard High School,School,WA,53,King,33,47.6768928,-122.374534,53,174,Seattle North,9/10/1979,12/15/2014,"1418 Northwest 65th Street, Seattle, WA  98117-5237",
1503202,Battleship Island,Island,WA,53,San Juan,55,48.6245436,-123.1851889,9,30,Roche Harbor,9/10/1979,6/14/2008,"Located in San Juan Islands National Wildlife Refuge and Wilderness, in Haro Strait, off the N end of Henry Island.","Originally named in honor of William H. Morse, purserÆs steward on the brig Porpoise during the Wilkes Expedition of 1841; renamed in 1921 because the shape of the island resembled a battleship.  The name Battleship Island was reaffirmed by a Board on Geographic Names (BGN) decsion in 2008."
1503208,Bay City,Populated Place,WA,53,Grays Harbor,27,46.8645361,-124.0593381,12,39,Grayland,9/10/1979,11/8/2006,,"Named for its location on South Bay. See ""Description of Washington State Town Names"", DeWitt C. Francis, 1971"
1503233,Bear Creek,Stream,WA,53,King,33,47.6681548,-122.1265119,9,30,Kirkland,9/10/1979,,Flows SWS to Sammamish River 2.6 km (1.6 mi) E of Snyders Corner.,
1503290,Bellevue Community College,School,WA,53,King,33,47.5847339,-122.1494218,118,387,Mercer Island,9/10/1979,9/15/2010,"3000 Landerholm Circle Southeast, Bellevue, WA  98007",
1503336,Beverly,Populated Place,WA,53,Grant,25,46.8367987,-119.9331041,167,548,Beverly,9/10/1979,11/8/2006,,"Named by H.R. Williams, vice-president of the Chicago, Milwaukee, and St. Paul Railway Company, for Beverly, Massachusetts. See ""Description of Washington State Town Names"", DeWitt C. Francis"
1503442,Bloodgood Creek,Stream,WA,53,Klickitat,39,45.8245682,-120.8367317,486,1594,Goldendale,9/10/1979,,"Heads at Bloodgood Spring, flows S to Little Klickitat River 1.3 km (0.8 mi) WNW of Goldendale.",
1503453,Blue Lakes,Lake,WA,53,Skamania,59,45.6736659,-121.9319847,112,367,Bonneville Dam,9/10/1979,8/2/2013,"Includes Little Blue Lake, Blue Lake and Squaw Lake, 2 miles NE of North Bonneville and 2.5 miles SW of Stevenson.",
1503484,Bourgeau Lake,Lake,WA,53,Ferry,19,48.2313699,-118.2169257,584,1916,Cedonia,9/10/1979,6/28/2011,0.8 km (0.5 mi) N of Stray Dog Canyon and 8 km (5 mi) S of Inchelium.,
1503539,Brickyard Creek,Stream,WA,53,Skagit,57,48.5081632,-122.292937,12,39,Alger,9/10/1979,,Heads in Bottomless Lake and flows SW to end in a system of ditches 2.8 miles W of Sedro-Woolley.,
1503949,Chibahdehl Rocks,Bar,WA,53,Clallam,9,48.3939534,-124.676075,0,0,Cape Flattery,9/10/1979,,"In the Strait of Juan de Fuca, off the N coast of the Olympic Peninsula, N of Midway and 4.8 km (3 mi) NW of the community of Neah Bay.",
1503950,Chicken Creek,Stream,WA,53,Okanogan,47,48.1123691,-119.6442202,373,1224,Bridgeport,9/10/1979,,Flows SW to disappear in Snider Flat 4.4 miles NE of Rocky Butte.,Local name for the numerous prairie chickens (tympanuchus cupido americanus) found in the area.
1503959,Chief Sealth International High School,School,WA,53,King,33,47.529622,-122.3661786,93,305,Seattle South,9/10/1979,12/15/2014,"2600 Southwest Thistle Street, Seattle, WA  98126",
1503972,Christensen Cove,Bay,WA,53,King,33,47.4034311,-122.5215179,0,0,Olalla,9/10/1979,,"At the mouth of Christensen Creek, on the W coast of Vashon Island S of Lisabeula.","Named for Captain Nels G. Christensen (1872-1936), founder of the West Pass Transportation Company, who lived near this cove."
